Area_Name,Year,Subgroup,Victims_Upto_10_Yrs,Victims_Between_10-14_Yrs,Victims_Between_14-18_Yrs,Victims_Between_18-30_Yrs,Victims_Between_30-50_Yrs,Victims_Above_50_Yrs,Rape_Cases_Reported,Victims_of_Rape_Total
Andaman & Nicobar Islands,2001,Total Rape Victims,0,0,3,0,0,0,3,3
Andaman & Nicobar Islands,2001,Victims of Incest Rape,0,0,1,0,0,0,1,1
Andaman & Nicobar Islands,2001,Victims of Other Rape,0,0,2,0,0,0,2,2
Andaman & Nicobar Islands,2002,Total Rape Victims,0,0,1,1,0,0,2,2
Andaman & Nicobar Islands,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Victims of Other Rape,0,0,1,1,0,0,2,2
Andaman & Nicobar Islands,2003,Total Rape Victims,1,0,1,0,0,0,2,2
Andaman & Nicobar Islands,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Victims of Other Rape,1,0,1,0,0,0,2,2
Andaman & Nicobar Islands,2004,Total Rape Victims,0,1,7,1,1,0,10,10
Andaman & Nicobar Islands,2004,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Victims of Other Rape,0,1,7,1,1,0,10,10
Andaman & Nicobar Islands,2005,Total Rape Victims,0,0,2,2,0,0,4,4
Andaman & Nicobar Islands,2005,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Victims of Other Rape,0,0,2,2,0,0,4,4
Andaman & Nicobar Islands,2006,Total Rape Victims,2,2,1,1,0,0,6,6
Andaman & Nicobar Islands,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Victims of Other Rape,2,2,1,1,0,0,6,6
Andaman & Nicobar Islands,2007,Total Rape Victims,0,0,3,0,0,0,3,3
Andaman & Nicobar Islands,2007,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Victims of Other Rape,0,0,3,0,0,0,3,3
Andaman & Nicobar Islands,2008,Total Rape Victims,0,1,7,3,1,0,12,12
Andaman & Nicobar Islands,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Victims of Other Rape,0,1,7,3,1,0,12,12
Andaman & Nicobar Islands,2009,Total Rape Victims,2,3,7,5,1,0,18,18
Andaman & Nicobar Islands,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Victims of Other Rape,2,3,7,5,1,0,18,18
Andaman & Nicobar Islands,2010,Total Rape Victims,2,1,12,8,1,0,24,24
Andaman & Nicobar Islands,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Victims of Other Rape,2,1,12,8,1,0,24,24
Andhra Pradesh,2001,Total Rape Victims,57,138,254,328,80,14,871,871
Andhra Pradesh,2001,Victims of Incest Rape,0,2,0,2,0,0,4,4
Andhra Pradesh,2001,Victims of Other Rape,57,136,254,326,80,14,867,867
Andhra Pradesh,2002,Total Rape Victims,35,67,35,709,148,8,1002,1002
Andhra Pradesh,2002,Victims of Incest Rape,0,2,0,3,0,0,5,5
Andhra Pradesh,2002,Victims of Other Rape,35,65,35,706,148,8,997,997
Andhra Pradesh,2003,Total Rape Victims,33,135,215,429,127,7,946,946
Andhra Pradesh,2003,Victims of Incest Rape,3,2,1,7,2,0,15,15
Andhra Pradesh,2003,Victims of Other Rape,30,133,214,422,125,7,931,931
Andhra Pradesh,2004,Total Rape Victims,55,145,163,516,130,7,1016,1016
Andhra Pradesh,2004,Victims of Incest Rape,1,0,3,1,0,0,5,5
Andhra Pradesh,2004,Victims of Other Rape,54,145,160,515,130,7,1011,1011
Andhra Pradesh,2005,Total Rape Victims,32,106,177,490,124,6,935,935
Andhra Pradesh,2005,Victims of Incest Rape,2,4,0,6,6,0,18,18
Andhra Pradesh,2005,Victims of Other Rape,30,102,177,484,118,6,917,917
Andhra Pradesh,2006,Total Rape Victims,46,128,238,536,91,10,1049,1049
Andhra Pradesh,2006,Victims of Incest Rape,0,0,0,1,0,0,1,1
Andhra Pradesh,2006,Victims of Other Rape,46,128,238,535,91,10,1048,1048
Andhra Pradesh,2007,Total Rape Victims,52,110,201,572,128,7,1070,1070
Andhra Pradesh,2007,Victims of Incest Rape,0,0,4,3,0,0,7,7
Andhra Pradesh,2007,Victims of Other Rape,52,110,197,569,128,7,1063,1063
Andhra Pradesh,2008,Total Rape Victims,49,126,237,660,174,11,1257,1257
Andhra Pradesh,2008,Victims of Incest Rape,2,2,1,5,1,2,13,13
Andhra Pradesh,2008,Victims of Other Rape,47,124,236,655,173,9,1244,1244
Andhra Pradesh,2009,Total Rape Victims,41,167,208,642,116,14,1188,1188
Andhra Pradesh,2009,Victims of Incest Rape,0,0,2,0,0,0,2,2
Andhra Pradesh,2009,Victims of Other Rape,41,167,206,642,116,14,1186,1186
Andhra Pradesh,2010,Total Rape Victims,30,133,283,749,152,15,1362,1362
Andhra Pradesh,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andhra Pradesh,2010,Victims of Other Rape,30,133,283,749,152,15,1362,1362
Arunachal Pradesh,2001,Total Rape Victims,0,0,1,28,4,0,33,33
Arunachal Pradesh,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
